주차장코드,주차장명,주소2,주차장 종류명,"토요일 유,무료 구분명","공휴일 유,무료 구분명"
1416322,영등포본동제2공영(구),서울특별시 영등포구 신길동 186-355,노외 주차장,무료,무료
1417234,면목초교주자창(구),서울특별시 중랑구 면목동 192-1,노외 주차장,무료,무료
1418248,방배열린문화센터 공영주차장(구),서울특별시 서초구 방배동 852-14,노외 주차장,무료,무료
1421476,풍납유수지공영주차장(구),서울특별시 송파구 가락동 387-0,노외 주차장,무료,무료
1421586,나눔터길 노상공영(구),서울특별시 강북구 수유동 605-185,노상 주차장,무료,무료
1423651,서강대역 환승 공영주차장(구),서울특별시 마포구 신수동 93-35,노외 주차장,유료,유료
1423770,남부초등학교(지하주차장)(구),서울특별시 관악구 신림동 467-0,노외 주차장,무료,무료
1423842,마장축산물시장 서문(건물) 공영주차장(구),서울특별시 성동구 마장동 522-1,노외 주차장,무료,무료
1424206,다산아트 공영주차장(구),서울특별시 중구 신당동 432-612,노외 주차장,무료,유료
1424461,DDP북측 마장로 관광버스전용 주차장(시),서울특별시 중구 신당동 222-3,노상 주차장,무료,무료
1425391,영등포구청별관 공영주차장(구),서울특별시 영등포구 당산동3가 560-0,노외 주차장,무료,무료
1425816,동국제강 공영주차장(시),서울특별시 중구 삼각동 111-1,노외 주차장,무료,유료
1427633,DDP동측(양쪽) 관광버스전용 주차장(시),서울특별시 중구 을지로7가 2-36,노상 주차장,유료,유료
1430035,남대문 초입 관광버스전용 주차장(시),서울특별시 중구 남창동 282-10,노상 주차장,무료,무료
1430042,남대문 시장 관광버스전용 주차장(시),서울특별시 중구 남창동 51-4,노상 주차장,유료,유료
1431448,고척근린공원지하주차장(구),서울특별시 구로구 고척동 9-14,노외 주차장,무료,무료
1431644,황학어린이공원 지하주차장(구),서울특별시 중구 황학동 755-0,노외 주차장,무료,무료
1432682,구로4동 주택가 공동 주차장(구),서울특별시 구로구 구로동 741-44,노외 주차장,무료,무료
1433547,한남동 공영주차장(구),서울특별시 용산구 한남동 685-46,노외 주차장,무료,무료
1434175,독산4동 공영주차장(구),서울특별시 금천구 독산동 187-40,노외 주차장,무료,무료
